index,open,high,low,close,number_ticks
2022/5/1 0:00,38058.1,38071.99,38044.83,38048.84,2984
2022/5/1 0:05,38049.18,38064.58,38024.98,38056.4,2703
2022/5/1 0:10,38056.22,38062.34,38002.54,38012.86,2685
2022/5/1 0:15,38013.71,38043.87,37992.02,38001.98,2896
2022/5/1 0:20,38002.36,38032.16,38000.98,38025.1,3151
2022/5/1 0:25,38025.13,38028.73,37997.18,38000.98,3048
2022/5/1 0:30,37999.74,38000.98,37957.59,37985.4,2863
2022/5/1 0:35,37984.9,37989.12,37932.95,37947.92,2776
2022/5/1 0:40,37947.92,37960.85,37937.07,37957.39,2654
2022/5/1 0:45,37957.39,37970.05,37941.26,37942,2542
2022/5/1 0:50,37942,37942.15,37904.64,37912.59,2501
2022/5/1 0:55,37912.75,37965.41,37910.82,37964.91,2701
2022/5/1 1:00,37964.91,37982.03,37953.53,37966.63,2772
2022/5/1 1:05,37966.63,37996.74,37933.05,37990.66,2600
2022/5/1 1:10,37990.66,38155.29,37990.66,38152.34,3446
2022/5/1 1:15,38152.34,38170.77,38052.78,38082.54,3312
2022/5/1 1:20,38082.54,38110.05,38082.54,38091.88,2873
2022/5/1 1:25,38091.68,38121.58,38070.56,38112.35,3030
2022/5/1 1:30,38112.35,38142.8,38102.16,38106,3215
2022/5/1 1:35,38106,38134,38097.13,38112.84,3042
2022/5/1 1:40,38112.84,38129.94,38096.88,38115.12,2672
2022/5/1 1:45,38115.12,38122.41,38070.76,38077.48,2652
2022/5/1 1:50,38077.48,38087.15,38073.5,38075.76,2545
2022/5/1 1:55,38075.76,38096.49,38061.41,38075.07,2466
2022/5/1 2:00,38075.07,38104.37,38060.5,38097.33,2640
2022/5/1 2:05,38097.33,38161.49,38097.33,38118.39,3150
2022/5/1 2:10,38118.39,38121.55,38078.03,38088.46,2981
2022/5/1 2:15,38088.46,38093.03,38075.72,38090.78,2822
2022/5/1 2:20,38090.84,38114.65,38081.2,38107.66,3038
2022/5/1 2:25,38107.66,38115.2,38082.79,38082.87,2882
2022/5/1 2:30,38082.86,38091.54,38018.79,38025.45,2725
2022/5/1 2:35,38025.45,38042.68,38020.03,38041.91,2779
2022/5/1 2:40,38041.77,38063.18,38025.69,38029.59,2927
2022/5/1 2:45,38028.84,38034.6,38012,38026.76,2758
2022/5/1 2:50,38026.65,38029.44,38005.82,38008.64,2870
2022/5/1 2:55,38009.39,38009.44,37959.82,37963.5,3011
2022/5/1 3:00,37963.5,37986.17,37940.25,37966.6,2924
2022/5/1 3:05,37966.6,37978.15,37941.16,37952.38,2615
2022/5/1 3:10,37953.27,37969.43,37941.23,37944.88,2644
2022/5/1 3:15,37945.19,37959.84,37934.56,37940.48,2846
2022/5/1 3:20,37938.77,37953.34,37915.02,37927.61,2877
2022/5/1 3:25,37927.61,37957.47,37926.7,37947.14,3013
2022/5/1 3:30,37946.88,37971.7,37939.26,37968.62,2608
2022/5/1 3:35,37968.1,38000.54,37967.09,37993.73,2705
